"ts_num","count","ts_date"
1559730900,24,2019-06-05 12:35:00
1559731200,32,2019-06-05 12:40:00
1559731500,30,2019-06-05 12:45:00
1559731800,40,2019-06-05 12:50:00
1559732100,34,2019-06-05 12:55:00
1559732400,35,2019-06-05 13:00:00
1559732700,26,2019-06-05 13:05:00
1559733000,47,2019-06-05 13:10:00
1559733300,29,2019-06-05 13:15:00
1559733600,27,2019-06-05 13:20:00
1559733900,36,2019-06-05 13:25:00
1559734200,27,2019-06-05 13:30:00
1559734500,35,2019-06-05 13:35:00
1559734800,28,2019-06-05 13:40:00
1559735100,38,2019-06-05 13:45:00
1559735400,49,2019-06-05 13:50:00
1559735700,45,2019-06-05 13:55:00
1559736000,25,2019-06-05 14:00:00
1559736300,30,2019-06-05 14:05:00
1559736600,22,2019-06-05 14:10:00
1559736900,18,2019-06-05 14:15:00
1559737200,24,2019-06-05 14:20:00
1559737500,19,2019-06-05 14:25:00
1559737800,21,2019-06-05 14:30:00
1559738100,27,2019-06-05 14:35:00
1559738400,37,2019-06-05 14:40:00
1559738700,29,2019-06-05 14:45:00
1559739000,29,2019-06-05 14:50:00
1559739300,17,2019-06-05 14:55:00
1559740200,1,2019-06-05 15:10:00
1559741100,1,2019-06-05 15:25:00
1559743200,10,2019-06-05 16:00:00
1559743500,5,2019-06-05 16:05:00
1559743800,6,2019-06-05 16:10:00
1559744100,2,2019-06-05 16:15:00
1559744400,6,2019-06-05 16:20:00
1559744700,3,2019-06-05 16:25:00
1559745000,2,2019-06-05 16:30:00
1559745300,5,2019-06-05 16:35:00
1559745600,4,2019-06-05 16:40:00
1559745900,5,2019-06-05 16:45:00
1559746200,5,2019-06-05 16:50:00
1559746500,6,2019-06-05 16:55:00
1559746800,64,2019-06-05 17:00:00
1559747100,53,2019-06-05 17:05:00
1559747400,53,2019-06-05 17:10:00
1559747700,59,2019-06-05 17:15:00
1559748000,63,2019-06-05 17:20:00
1559748300,71,2019-06-05 17:25:00
1559748600,69,2019-06-05 17:30:00
1559748900,54,2019-06-05 17:35:00
1559749200,62,2019-06-05 17:40:00
1559749500,49,2019-06-05 17:45:00
1559749800,42,2019-06-05 17:50:00
1559750100,73,2019-06-05 17:55:00
1559750400,77,2019-06-05 18:00:00
1559750700,99,2019-06-05 18:05:00
1559751000,97,2019-06-05 18:10:00
1559751300,92,2019-06-05 18:15:00
1559751600,76,2019-06-05 18:20:00
1559751900,89,2019-06-05 18:25:00
1559752200,75,2019-06-05 18:30:00
1559752500,101,2019-06-05 18:35:00
1559752800,87,2019-06-05 18:40:00
1559753100,95,2019-06-05 18:45:00
1559753400,84,2019-06-05 18:50:00
1559753700,80,2019-06-05 18:55:00
1559754000,74,2019-06-05 19:00:00
1559754300,68,2019-06-05 19:05:00
1559754600,91,2019-06-05 19:10:00
1559754900,96,2019-06-05 19:15:00
1559755200,91,2019-06-05 19:20:00
1559755500,90,2019-06-05 19:25:00
1559755800,84,2019-06-05 19:30:00
1559756100,80,2019-06-05 19:35:00
1559756400,77,2019-06-05 19:40:00
1559756700,80,2019-06-05 19:45:00
1559757000,77,2019-06-05 19:50:00
1559757300,73,2019-06-05 19:55:00
1559757600,61,2019-06-05 20:00:00
1559757900,63,2019-06-05 20:05:00
1559758200,64,2019-06-05 20:10:00
1559758500,70,2019-06-05 20:15:00
1559758800,66,2019-06-05 20:20:00
1559759100,67,2019-06-05 20:25:00
1559759400,66,2019-06-05 20:30:00
1559759700,67,2019-06-05 20:35:00
1559760000,61,2019-06-05 20:40:00
1559760300,71,2019-06-05 20:45:00
1559760600,66,2019-06-05 20:50:00
1559760900,80,2019-06-05 20:55:00
1559761200,39,2019-06-05 21:00:00
1559761500,55,2019-06-05 21:05:00
1559761800,45,2019-06-05 21:10:00
1559762100,41,2019-06-05 21:15:00
1559762400,52,2019-06-05 21:20:00
1559762700,63,2019-06-05 21:25:00
1559763000,53,2019-06-05 21:30:00
1559763300,63,2019-06-05 21:35:00
1559763600,61,2019-06-05 21:40:00
1559763900,56,2019-06-05 21:45:00
1559764200,52,2019-06-05 21:50:00
1559764500,57,2019-06-05 21:55:00
1559764800,42,2019-06-05 22:00:00
1559765100,35,2019-06-05 22:05:00
1559765400,35,2019-06-05 22:10:00
1559765700,34,2019-06-05 22:15:00
1559766000,32,2019-06-05 22:20:00
1559766300,31,2019-06-05 22:25:00
1559766600,25,2019-06-05 22:30:00
1559766900,29,2019-06-05 22:35:00
1559767200,26,2019-06-05 22:40:00
1559767500,28,2019-06-05 22:45:00
1559767800,34,2019-06-05 22:50:00
1559768100,30,2019-06-05 22:55:00
1559768400,30,2019-06-05 23:00:00
1559768700,28,2019-06-05 23:05:00
1559769000,31,2019-06-05 23:10:00
1559769300,40,2019-06-05 23:15:00
1559769600,25,2019-06-05 23:20:00
1559769900,41,2019-06-05 23:25:00
1559770200,34,2019-06-05 23:30:00
1559770500,30,2019-06-05 23:35:00
1559770800,27,2019-06-05 23:40:00
1559771100,35,2019-06-05 23:45:00
1559771400,31,2019-06-05 23:50:00
1559771700,36,2019-06-05 23:55:00
1559772000,28,2019-06-06 00:00:00
1559772300,30,2019-06-06 00:05:00
1559772600,30,2019-06-06 00:10:00
1559772900,34,2019-06-06 00:15:00
1559773200,24,2019-06-06 00:20:00
1559773500,20,2019-06-06 00:25:00
1559773800,32,2019-06-06 00:30:00
1559774100,32,2019-06-06 00:35:00
1559774400,29,2019-06-06 00:40:00
1559774700,27,2019-06-06 00:45:00
1559775000,34,2019-06-06 00:50:00
1559775300,32,2019-06-06 00:55:00
1559775600,17,2019-06-06 01:00:00
1559775900,14,2019-06-06 01:05:00
1559776200,20,2019-06-06 01:10:00
1559776500,16,2019-06-06 01:15:00
1559776800,16,2019-06-06 01:20:00
1559777100,21,2019-06-06 01:25:00
1559777400,11,2019-06-06 01:30:00
1559777700,15,2019-06-06 01:35:00
1559778000,8,2019-06-06 01:40:00
1559778300,18,2019-06-06 01:45:00
1559778600,22,2019-06-06 01:50:00
1559778900,23,2019-06-06 01:55:00
1559779200,7,2019-06-06 02:00:00
1559779500,11,2019-06-06 02:05:00
1559779800,8,2019-06-06 02:10:00
1559780100,10,2019-06-06 02:15:00
1559780400,2,2019-06-06 02:20:00
1559780700,6,2019-06-06 02:25:00
1559781000,7,2019-06-06 02:30:00
1559781300,6,2019-06-06 02:35:00
1559781600,7,2019-06-06 02:40:00
1559781900,5,2019-06-06 02:45:00
1559782200,7,2019-06-06 02:50:00
1559782500,4,2019-06-06 02:55:00
1559782800,5,2019-06-06 03:00:00
1559783100,5,2019-06-06 03:05:00
1559783400,3,2019-06-06 03:10:00
1559783700,6,2019-06-06 03:15:00
1559784000,3,2019-06-06 03:20:00
1559784300,7,2019-06-06 03:25:00
1559784600,3,2019-06-06 03:30:00
1559784900,2,2019-06-06 03:35:00
1559785200,4,2019-06-06 03:40:00
1559785500,4,2019-06-06 03:45:00
1559785800,10,2019-06-06 03:50:00
1559786100,5,2019-06-06 03:55:00
1559786400,11,2019-06-06 04:00:00
1559786700,3,2019-06-06 04:05:00
1559787000,6,2019-06-06 04:10:00
1559787300,3,2019-06-06 04:15:00
1559787600,9,2019-06-06 04:20:00
1559788200,3,2019-06-06 04:30:00
1559788500,3,2019-06-06 04:35:00
1559788800,7,2019-06-06 04:40:00
1559789100,8,2019-06-06 04:45:00
1559789400,1,2019-06-06 04:50:00
1559790000,3,2019-06-06 05:00:00
1559790300,7,2019-06-06 05:05:00
1559790600,2,2019-06-06 05:10:00
1559790900,2,2019-06-06 05:15:00
1559791200,3,2019-06-06 05:20:00
1559791500,6,2019-06-06 05:25:00
1559791800,2,2019-06-06 05:30:00
1559792100,2,2019-06-06 05:35:00
1559792400,3,2019-06-06 05:40:00
1559792700,4,2019-06-06 05:45:00
